Shape,Cut,Color,Clarity,Carat,Length/Width Ratio,Depth %,Table %,Polish,Symmetry,Girdle,Length,Width,Height,Price,Type,price_category,price_category_encoded,Cut_encoded,Color_encoded,Clarity_encoded,Polish_encoded,Symmetry_encoded,Girdle_encoded,Carat_category,Carat_category_encoded
Cushion Modified,Ideal,F,VVS2,1.84,1.02,65.8,59.0,Excellent,Very Good,Medium to Thick,7.09,6.95,4.57,2640,GIA Lab-Grown,medium,3,5,5,6,4.0,3.0,5.0,medium,4
Princess,Very Good,H,VS1,1.0,1.0,73.6,72.0,Very Good,Good,Slightly Thick,5.51,5.5,4.05,2610,GIA,medium,3,3,3,5,3.0,2.0,5.0,extra small,2
Princess,Ideal,E,VS1,1.08,1.02,69.9,69.0,Excellent,Excellent,Medium,5.65,5.55,3.88,1070,IGI Lab-Grown,very low,1,5,6,5,4.0,4.0,4.0,small,3
Round,Ideal,E,VS1,1.59,1.0,60.9,59.0,Excellent,Excellent,Medium,7.52,7.55,4.59,1850,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Princess,Ideal,E,VVS2,1.02,1.01,70.6,70.0,Excellent,Very Good,Medium to Slightly Thick,5.52,5.48,3.87,1130,GIA Lab-Grown,very low,1,5,6,6,4.0,3.0,4.5,small,3
Princess,Ideal,H,VS1,1.0,1.0,72.9,72.0,Excellent,Very Good,Slightly Thick to Very Thick,5.31,5.29,3.86,1130,GIA,very low,1,5,3,5,4.0,3.0,6.5,extra small,2
Cushion Modified,Ideal,F,IF,1.3,1.03,67.1,62.0,Excellent,Excellent,Slightly Thick to Very Thick,6.25,6.08,4.08,4670,GIA Lab-Grown,high,4,5,5,8,4.0,4.0,6.5,small,3
Princess,Ideal,D,VS1,1.03,1.02,72.2,67.0,Excellent,Excellent,Medium to Thick,5.63,5.54,4.0,1110,GIA Lab-Grown,very low,1,5,7,5,4.0,4.0,5.0,small,3
Round,Very Good,G,VS2,1.0,1.0,60.3,62.0,Excellent,Excellent,Slightly Thick to Thick,6.44,6.46,3.89,4020,GIA,high,4,3,4,4,4.0,4.0,5.5,extra small,2
Princess,Ideal,E,VVS2,1.04,1.02,72.3,69.0,Excellent,Excellent,Medium,5.65,5.56,4.02,1210,IGI Lab-Grown,low,2,5,6,6,4.0,4.0,4.0,small,3
Princess,Ideal,G,VS2,1.06,1.01,74.0,69.0,Excellent,Excellent,Very Thick,5.47,5.43,4.02,4220,GIA,high,4,5,4,4,4.0,4.0,7.0,small,3
Round,Excellent,E,VS1,1.6,1.0,62.0,57.0,Very Good,Excellent,Medium to Slightly Thick,7.48,7.49,4.64,1800,GIA Lab-Grown,low,2,4,6,5,3.0,4.0,4.5,medium,4
Cushion Modified,Ideal,E,VS1,1.58,1.01,68.1,62.0,Very Good,Excellent,Slightly Thick to Thick,6.71,6.67,4.54,5030,GIA Lab-Grown,very high,5,5,6,5,3.0,4.0,5.5,medium,4
Princess,Very Good,H,VVS2,1.0,1.03,75.3,72.0,Excellent,Excellent,Slightly Thick to Thick,5.4,5.26,3.96,2730,GIA,medium,3,3,3,6,4.0,4.0,5.5,extra small,2
Round,Excellent,D,VS1,1.51,1.0,60.3,58.0,Excellent,Excellent,Thin to Medium,7.43,7.46,4.49,1770,GIA Lab-Grown,low,2,4,7,5,4.0,4.0,3.5,medium,4
Cushion Modified,Ideal,F,VS1,2.73,1.01,65.8,63.0,Excellent,Excellent,Slightly Thick to Thick,8.11,8.06,5.3,6400,GIA Lab-Grown,very high,5,5,5,5,4.0,4.0,5.5,extra large,6
Cushion Modified,Ideal,F,VVS2,2.53,1.01,66.8,62.0,Excellent,Excellent,Medium to Thick,7.9,7.81,5.22,5170,GIA Lab-Grown,very high,5,5,5,6,4.0,4.0,5.0,extra large,6
Round,Very Good,E,VS2,1.01,1.01,64.4,57.0,Excellent,Very Good,Slightly Thick to Thick,6.2,6.27,4.01,4100,GIA,high,4,3,6,4,4.0,3.0,5.5,small,3
Cushion,Ideal,D,VVS1,1.75,1.03,67.0,60.0,Excellent,Excellent,Medium to Slightly Thick,7.11,6.91,4.63,4690,IGI Lab-Grown,very high,5,5,7,7,4.0,4.0,4.5,medium,4
Princess,Very Good,G,VS2,1.01,1.0,76.6,71.0,Excellent,Very Good,Slightly Thick to Thick,5.18,5.18,3.97,2530,GIA,medium,3,3,4,4,4.0,3.0,5.5,small,3
Round,Ideal,D,VS1,1.59,1.01,61.0,57.0,Excellent,Excellent,Medium,7.52,7.58,4.6,1860,IGI Lab-Grown,low,2,5,7,5,4.0,4.0,4.0,medium,4
Princess,Ideal,E,VS2,1.01,1.0,71.5,70.0,Excellent,Very Good,Thick to Very Thick,5.42,5.41,3.87,4330,GIA,high,4,5,6,4,4.0,3.0,6.5,small,3
Princess,Ideal,G,VVS1,1.02,1.01,72.6,71.0,Excellent,Excellent,Medium to Slightly Thick,5.61,5.54,4.02,3800,GIA,high,4,5,4,7,4.0,4.0,4.5,small,3
Round,Excellent,H,VS2,1.0,1.01,63.0,57.0,Excellent,Excellent,Medium to Slightly Thick,6.32,6.36,4.0,4080,GIA,high,4,4,3,4,4.0,4.0,4.5,extra small,2
Princess,Ideal,G,VS1,1.0,1.02,72.7,73.0,Excellent,Very Good,Medium,5.65,5.54,4.03,3250,GIA,medium,3,5,4,5,4.0,3.0,4.0,extra small,2
Princess,Ideal,G,VVS1,1.0,1.01,72.5,70.0,Excellent,Very Good,Thick,5.43,5.39,3.91,3350,GIA,medium,3,5,4,7,4.0,3.0,6.0,extra small,2
Round,Very Good,H,VVS1,1.0,1.0,59.4,62.0,Excellent,Excellent,Medium to Slightly Thick,6.45,6.46,3.84,4130,GIA,high,4,3,3,7,4.0,4.0,4.5,extra small,2
Princess,Ideal,F,VS2,1.04,1.03,73.8,75.0,Excellent,Very Good,Thick to Very Thick,5.62,5.47,4.04,2790,GIA,medium,3,5,5,4,4.0,3.0,6.5,small,3
Princess,Ideal,G,VS2,1.0,1.01,73.5,75.0,Very Good,Very Good,Slightly Thick to Very Thick,5.5,5.47,4.03,3040,GIA,medium,3,5,4,4,3.0,3.0,6.5,extra small,2
Round,Ideal,E,VS1,1.58,1.0,61.9,57.0,Excellent,Excellent,Medium,7.44,7.46,4.61,1840,IGI Lab-Grown,low,2,5,6,5,4.0,4.0,4.0,medium,4
Round,Excellent,E,VS1,1.55,1.0,61.8,57.0,Excellent,Excellent,Slightly Thick,7.39,7.42,4.58,1770,GIA Lab-Grown,low,2,4,6,5,4.0,4.0,5.0,medium,4
